TAMBON_E,AM_ID,AMPHOE_E,CHANGWAT_E,LAT,LONG
Ko Samrong,7101,Mueang Kanchanaburi,Kanchanaburi,13.951,99.52
Wang Yen,7101,Mueang Kanchanaburi,Kanchanaburi,13.954,99.4
Ban Kao,7101,Mueang Kanchanaburi,Kanchanaburi,13.981,99.305
Nong Ya,7101,Mueang Kanchanaburi,Kanchanaburi,13.981,99.451
Tha Makham,7101,Mueang Kanchanaburi,Kanchanaburi,14.035,99.503
Pak Phraek,7101,Mueang Kanchanaburi,Kanchanaburi,14.039,99.551
Nong Bua,7101,Mueang Kanchanaburi,Kanchanaburi,14.05,99.417
Kaeng Sian,7101,Mueang Kanchanaburi,Kanchanaburi,14.103,99.501
Lat Ya,7101,Mueang Kanchanaburi,Kanchanaburi,14.138,99.419
Wang Dong,7101,Mueang Kanchanaburi,Kanchanaburi,14.151,99.306
Chong Sadao,7101,Mueang Kanchanaburi,Kanchanaburi,14.228,99.187
Nong Pradu,7110,Lao Khwan,Kanchanaburi,14.456,99.738
Nong Nok Kaeo,7110,Lao Khwan,Kanchanaburi,14.516,99.655
Lao Khwan,7110,Lao Khwan,Kanchanaburi,14.58,99.753
Thung Krabam,7110,Lao Khwan,Kanchanaburi,14.616,99.586
Nong Sano,7110,Lao Khwan,Kanchanaburi,14.648,99.758
Nong Fai,7110,Lao Khwan,Kanchanaburi,14.682,99.642
Nong Pling,7110,Lao Khwan,Kanchanaburi,14.715,99.743
Si Mongkhon,7102,Sai Yok,Kanchanaburi,13.992,99.139
Sing,7102,Sai Yok,Kanchanaburi,14.035,99.287
Lum Sum,7102,Sai Yok,Kanchanaburi,14.104,99.133
Bong Ti,7102,Sai Yok,Kanchanaburi,14.134,98.916
Wang Krachae,7102,Sai Yok,Kanchanaburi,14.26,98.911
Tha Sao,7102,Sai Yok,Kanchanaburi,14.303,99.037
Sai Yok,7102,Sai Yok,Kanchanaburi,14.421,98.741
Nong Phai,7111,Dan Makham Tia,Kanchanaburi,13.808,99.44
Chorakhe Phueak,7111,Dan Makham Tia,Kanchanaburi,13.811,99.21
Dan Makham Tia,7111,Dan Makham Tia,Kanchanaburi,13.836,99.388
Klon Do,7111,Dan Makham Tia,Kanchanaburi,13.88,99.44
Lin Thin,7107,Thong Pha Phum,Kanchanaburi,14.584,98.833
Hin Dat,7107,Thong Pha Phum,Kanchanaburi,14.608,98.723
Huai Khayeng,7107,Thong Pha Phum,Kanchanaburi,14.635,98.583
Sahakon Nikhom,7107,Thong Pha Phum,Kanchanaburi,14.735,98.763
Tha Khanun,7107,Thong Pha Phum,Kanchanaburi,14.762,98.641
Pi Lok,7107,Thong Pha Phum,Kanchanaburi,14.779,98.403
Chalae,7107,Thong Pha Phum,Kanchanaburi,14.996,98.833
Nong Tak Ya,7106,Tha Muang,Kanchanaburi,13.795,99.546
Phang Tru,7106,Tha Muang,Kanchanaburi,13.863,99.645
Rang Sali,7106,Tha Muang,Kanchanaburi,13.866,99.543
Ban Mai,7106,Tha Muang,Kanchanaburi,13.868,99.604
Tha Takhro,7106,Tha Muang,Kanchanaburi,13.917,99.699
Khao Noi,7106,Tha Muang,Kanchanaburi,13.919,99.588
