TAMBON_E,AMPHOE_E,CHANGWAT_E,LAT,LONG
Ko Samrong,Mueang Kanchanaburi,Kanchanaburi,13.951,99.52
Wang Yen,Mueang Kanchanaburi,Kanchanaburi,13.954,99.4
Ban Kao,Mueang Kanchanaburi,Kanchanaburi,13.981,99.305
Nong Ya,Mueang Kanchanaburi,Kanchanaburi,13.981,99.451
Tha Makham,Mueang Kanchanaburi,Kanchanaburi,14.035,99.503
Pak Phraek,Mueang Kanchanaburi,Kanchanaburi,14.039,99.551
Nong Bua,Mueang Kanchanaburi,Kanchanaburi,14.05,99.417
Kaeng Sian,Mueang Kanchanaburi,Kanchanaburi,14.103,99.501
Lat Ya,Mueang Kanchanaburi,Kanchanaburi,14.138,99.419
Wang Dong,Mueang Kanchanaburi,Kanchanaburi,14.151,99.306
Chong Sadao,Mueang Kanchanaburi,Kanchanaburi,14.228,99.187
Si Mongkhon,Sai Yok,Kanchanaburi,13.992,99.139
Sing,Sai Yok,Kanchanaburi,14.035,99.287
Lum Sum,Sai Yok,Kanchanaburi,14.104,99.133
Bong Ti,Sai Yok,Kanchanaburi,14.134,98.916
Wang Krachae,Sai Yok,Kanchanaburi,14.26,98.911
Tha Sao,Sai Yok,Kanchanaburi,14.303,99.037
Sai Yok,Sai Yok,Kanchanaburi,14.421,98.741
Nong Kum,Bo Phloi,Kanchanaburi,14.205,99.462
Bo Phloi,Bo Phloi,Kanchanaburi,14.305,99.466
Chong Dan,Bo Phloi,Kanchanaburi,14.412,99.437
Lum Rang,Bo Phloi,Kanchanaburi,14.485,99.481
Nong Ri,Bo Phloi,Kanchanaburi,14.54,99.356
Tha Kradan,Si Sawat,Kanchanaburi,14.366,99.174
Nong Pet,Si Sawat,Kanchanaburi,14.464,99.232
Mae Krabung,Si Sawat,Kanchanaburi,14.527,98.996
Dan Mae Chalaep,Si Sawat,Kanchanaburi,14.691,98.98
Khao Chot,Si Sawat,Kanchanaburi,14.885,99.183
Na Suan,Si Sawat,Kanchanaburi,14.895,99.029
Khok Tabong,Tha Maka,Kanchanaburi,13.839,99.746
Tha Sao,Tha Maka,Kanchanaburi,13.843,99.805
Khao Sam Sip Hap,Tha Maka,Kanchanaburi,13.865,99.719
Phong Tuek,Tha Maka,Kanchanaburi,13.869,99.776
Don Khamin,Tha Maka,Kanchanaburi,13.884,99.826
Wai Niao,Tha Maka,Kanchanaburi,13.902,99.759
Tha Mai,Tha Maka,Kanchanaburi,13.906,99.801
Yang Muang,Tha Maka,Kanchanaburi,13.921,99.834
Saen To,Tha Maka,Kanchanaburi,13.922,99.732
Tha Maka,Tha Maka,Kanchanaburi,13.93,99.779
Tha Ruea,Tha Maka,Kanchanaburi,13.954,99.752
Sanam Yae,Tha Maka,Kanchanaburi,13.954,99.851
Don Cha-Em,Tha Maka,Kanchanaburi,13.971,99.807
Takhram En,Tha Maka,Kanchanaburi,13.992,99.744
Phra Thaen,Tha Maka,Kanchanaburi,14.018,99.792
Nong Lan,Tha Maka,Kanchanaburi,14.037,99.827
Ulok Si Muen,Tha Maka,Kanchanaburi,14.06,99.773
Nong Tak Ya,Tha Muang,Kanchanaburi,13.795,99.546
Phang Tru,Tha Muang,Kanchanaburi,13.863,99.645
Rang Sali,Tha Muang,Kanchanaburi,13.866,99.543
Ban Mai,Tha Muang,Kanchanaburi,13.868,99.604
Tha Takhro,Tha Muang,Kanchanaburi,13.917,99.699
Khao Noi,Tha Muang,Kanchanaburi,13.919,99.588
Muang Chum,Tha Muang,Kanchanaburi,13.937,99.617
Wang Khanai,Tha Muang,Kanchanaburi,13.96,99.663
Wang Sala,Tha Muang,Kanchanaburi,13.971,99.697
Tha Muang,Tha Muang,Kanchanaburi,13.974,99.625
Tha Lo,Tha Muang,Kanchanaburi,13.987,99.589
Thung Thong,Tha Muang,Kanchanaburi,14.008,99.666
Nong Khao,Tha Muang,Kanchanaburi,14.055,99.613
Lin Thin,Thong Pha Phum,Kanchanaburi,14.584,98.833
Hin Dat,Thong Pha Phum,Kanchanaburi,14.608,98.723
Huai Khayeng,Thong Pha Phum,Kanchanaburi,14.635,98.583
Sahakon Nikhom,Thong Pha Phum,Kanchanaburi,14.735,98.763
Tha Khanun,Thong Pha Phum,Kanchanaburi,14.762,98.641
Pi Lok,Thong Pha Phum,Kanchanaburi,14.779,98.403
Chalae,Thong Pha Phum,Kanchanaburi,14.996,98.833
Prang Phle,Sangkhla Buri,Kanchanaburi,14.999,98.545
Nong Lu,Sangkhla Buri,Kanchanaburi,15.112,98.341
Lai Wo,Sangkhla Buri,Kanchanaburi,15.345,98.664
Don Chedi,Phanom Thuan,Kanchanaburi,14.036,99.674
Nong Sarai,Phanom Thuan,Kanchanaburi,14.067,99.728
Thung Samo,Phanom Thuan,Kanchanaburi,14.076,99.667
Phanom Thuan,Phanom Thuan,Kanchanaburi,14.129,99.705
Phang Tru,Phanom Thuan,Kanchanaburi,14.134,99.746
Nong Rong,Phanom Thuan,Kanchanaburi,14.162,99.622
Don Ta Phet,Phanom Thuan,Kanchanaburi,14.192,99.678
Rang Wai,Phanom Thuan,Kanchanaburi,14.232,99.767
Nong Pradu,Lao Khwan,Kanchanaburi,14.456,99.738
Nong Nok Kaeo,Lao Khwan,Kanchanaburi,14.516,99.655
Lao Khwan,Lao Khwan,Kanchanaburi,14.58,99.753
Thung Krabam,Lao Khwan,Kanchanaburi,14.616,99.586
Nong Sano,Lao Khwan,Kanchanaburi,14.648,99.758
Nong Fai,Lao Khwan,Kanchanaburi,14.682,99.642
Nong Pling,Lao Khwan,Kanchanaburi,14.715,99.743
Nong Phai,Dan Makham Tia,Kanchanaburi,13.808,99.44
Chorakhe Phueak,Dan Makham Tia,Kanchanaburi,13.811,99.21
Dan Makham Tia,Dan Makham Tia,Kanchanaburi,13.836,99.388
Klon Do,Dan Makham Tia,Kanchanaburi,13.88,99.44
Nong Pla Lai,Nong Prue,Kanchanaburi,14.626,99.527
Nong Prue,Nong Prue,Kanchanaburi,14.63,99.454
Somdet Charoen,Nong Prue,Kanchanaburi,14.746,99.338
Don Salaep,Huai Krachao,Kanchanaburi,14.292,99.701
Huai Krachao,Huai Krachao,Kanchanaburi,14.312,99.618
Sa Long Ruea,Huai Krachao,Kanchanaburi,14.357,99.764
Wang Phai,Huai Krachao,Kanchanaburi,14.434,99.597
