AD_LEVEL,TA_ID,TAMBON_T,TAMBON_E,AM_ID,AMPHOE_T,AMPHOE_E,CH_ID,CHANGWAT_T,CHANGWAT_E,LAT,LONG
4,100702,ต. เกาะสำโรง,Ko Samrong,7101,อ. เมืองกาญจนบุรี,Mueang Kanchanaburi,71,จ. กาญจนบุรี,Kanchanaburi,13.951,99.520
4,103704,ต. วังเย็น,Wang Yen,7101,อ. เมืองกาญจนบุรี,Mueang Kanchanaburi,71,จ. กาญจนบุรี,Kanchanaburi,13.954,99.400
4,101203,ต. บ้านเก่า,Ban Kao,7101,อ. เมืองกาญจนบุรี,Mueang Kanchanaburi,71,จ. กาญจนบุรี,Kanchanaburi,13.981,99.305
4,101505,ต. หนองหญ้า,Nong Ya,7101,อ. เมืองกาญจนบุรี,Mueang Kanchanaburi,71,จ. กาญจนบุรี,Kanchanaburi,13.981,99.451
4,100102,ต. ท่ามะขาม,Tha Makham,7101,อ. เมืองกาญจนบุรี,Mueang Kanchanaburi,71,จ. กาญจนบุรี,Kanchanaburi,14.035,99.503
4,101802,ต. ปากแพรก,Pak Phraek,7101,อ. เมืองกาญจนบุรี,Mueang Kanchanaburi,71,จ. กาญจนบุรี,Kanchanaburi,14.039,99.551
4,100403,ต. หนองบัว,Nong Bua,7101,อ. เมืองกาญจนบุรี,Mueang Kanchanaburi,71,จ. กาญจนบุรี,Kanchanaburi,14.050,99.417
4,101804,ต. แก่งเสี้ยน,Kaeng Sian,7101,อ. เมืองกาญจนบุรี,Mueang Kanchanaburi,71,จ. กาญจนบุรี,Kanchanaburi,14.103,99.501
4,102802,ต. ลาดหญ้า,Lat Ya,7101,อ. เมืองกาญจนบุรี,Mueang Kanchanaburi,71,จ. กาญจนบุรี,Kanchanaburi,14.138,99.419
4,101907,ต. วังด้ง,Wang Dong,7101,อ. เมืองกาญจนบุรี,Mueang Kanchanaburi,71,จ. กาญจนบุรี,Kanchanaburi,14.151,99.306
4,103103,ต. ช่องสะเดา,Chong Sadao,7101,อ. เมืองกาญจนบุรี,Mueang Kanchanaburi,71,จ. กาญจนบุรี,Kanchanaburi,14.228,99.187
4,102803,ต. หนองประดู่,Nong Pradu,7110,อ. เลาขวัญ,Lao Khwan,71,จ. กาญจนบุรี,Kanchanaburi,14.456,99.738
4,100201,ต. หนองนกแก้ว,Nong Nok Kaeo,7110,อ. เลาขวัญ,Lao Khwan,71,จ. กาญจนบุรี,Kanchanaburi,14.516,99.655
4,103101,ต. เลาขวัญ,Lao Khwan,7110,อ. เลาขวัญ,Lao Khwan,71,จ. กาญจนบุรี,Kanchanaburi,14.580,99.753
4,102504,ต. ทุ่งกระบ่ำ,Thung Krabam,7110,อ. เลาขวัญ,Lao Khwan,71,จ. กาญจนบุรี,Kanchanaburi,14.616,99.586
4,102004,ต. หนองโสน,Nong Sano,7110,อ. เลาขวัญ,Lao Khwan,71,จ. กาญจนบุรี,Kanchanaburi,14.648,99.758
4,103701,ต. หนองฝ้าย,Nong Fai,7110,อ. เลาขวัญ,Lao Khwan,71,จ. กาญจนบุรี,Kanchanaburi,14.682,99.642
4,102009,ต. หนองปลิง,Nong Pling,7110,อ. เลาขวัญ,Lao Khwan,71,จ. กาญจนบุรี,Kanchanaburi,14.715,99.743
4,101704,ต. ศรีมงคล,Si Mongkhon,7102,อ. ไทรโยค,Sai Yok,71,จ. กาญจนบุรี,Kanchanaburi,13.992,99.139
4,100703,ต. สิงห์,Sing,7102,อ. ไทรโยค,Sai Yok,71,จ. กาญจนบุรี,Kanchanaburi,14.035,99.287
4,103502,ต. ลุ่มสุ่ม,Lum Sum,7102,อ. ไทรโยค,Sai Yok,71,จ. กาญจนบุรี,Kanchanaburi,14.104,99.133
4,102502,ต. บ้องตี้,Bong Ti,7102,อ. ไทรโยค,Sai Yok,71,จ. กาญจนบุรี,Kanchanaburi,14.134,98.916
4,101902,ต. วังกระแจะ,Wang Krachae,7102,อ. ไทรโยค,Sai Yok,71,จ. กาญจนบุรี,Kanchanaburi,14.260,98.911
4,102401,ต. ท่าเสา,Tha Sao,7102,อ. ไทรโยค,Sai Yok,71,จ. กาญจนบุรี,Kanchanaburi,14.303,99.037
4,103902,ต. ไทรโยค,Sai Yok,7102,อ. ไทรโยค,Sai Yok,71,จ. กาญจนบุรี,Kanchanaburi,14.421,98.741
4,102206,ต. หนองไผ่,Nong Phai,7111,อ. ด่านมะขามเตี้ย,Dan Makham Tia,71,จ. กาญจนบุรี,Kanchanaburi,13.808,99.440
4,103504,ต. จรเข้เผือก,Chorakhe Phueak,7111,อ. ด่านมะขามเตี้ย,Dan Makham Tia,71,จ. กาญจนบุรี,Kanchanaburi,13.811,99.210
4,102208,ต. ด่านมะขามเตี้ย,Dan Makham Tia,7111,อ. ด่านมะขามเตี้ย,Dan Makham Tia,71,จ. กาญจนบุรี,Kanchanaburi,13.836,99.388
4,103302,ต. กลอนโด,Klon Do,7111,อ. ด่านมะขามเตี้ย,Dan Makham Tia,71,จ. กาญจนบุรี,Kanchanaburi,13.880,99.440
4,101504,ต. ลิ่นถิ่น,Lin Thin,7107,อ. ทองผาภูมิ,Thong Pha Phum,71,จ. กาญจนบุรี,Kanchanaburi,14.584,98.833
4,103303,ต. หินดาด,Hin Dat,7107,อ. ทองผาภูมิ,Thong Pha Phum,71,จ. กาญจนบุรี,Kanchanaburi,14.608,98.723
4,100206,ต. ห้วยเขย่ง,Huai Khayeng,7107,อ. ทองผาภูมิ,Thong Pha Phum,71,จ. กาญจนบุรี,Kanchanaburi,14.635,98.583
4,101803,ต. สหกรณ์นิคม,Sahakon Nikhom,7107,อ. ทองผาภูมิ,Thong Pha Phum,71,จ. กาญจนบุรี,Kanchanaburi,14.735,98.763
