TAMBON_E,AMPHOE_E,CHANGWAT_E,LAT,LONG,LAT2,LONG2
Ko Samrong,Mueang Kanchanaburi,Kanchanaburi,13.951,99.520,1395.1,9952
Wang Yen,Mueang Kanchanaburi,Kanchanaburi,13.954,99.400,1395.4,9940
Ban Kao,Mueang Kanchanaburi,Kanchanaburi,13.981,99.305,1398.1,9930.5
Nong Ya,Mueang Kanchanaburi,Kanchanaburi,13.981,99.451,1398.1,9945.1
Tha Makham,Mueang Kanchanaburi,Kanchanaburi,14.035,99.503,1403.5,9950.3
Pak Phraek,Mueang Kanchanaburi,Kanchanaburi,14.039,99.551,1403.9,9955.1
Nong Bua,Mueang Kanchanaburi,Kanchanaburi,14.050,99.417,1405,9941.7
Kaeng Sian,Mueang Kanchanaburi,Kanchanaburi,14.103,99.501,1410.3,9950.1
Lat Ya,Mueang Kanchanaburi,Kanchanaburi,14.138,99.419,1413.8,9941.9
Wang Dong,Mueang Kanchanaburi,Kanchanaburi,14.151,99.306,1415.1,9930.6
Chong Sadao,Mueang Kanchanaburi,Kanchanaburi,14.228,99.187,1422.8,9918.7
Nong Pradu,Lao Khwan,Kanchanaburi,14.456,99.738,1445.6,9973.8
Nong Nok Kaeo,Lao Khwan,Kanchanaburi,14.516,99.655,1451.6,9965.5
Lao Khwan,Lao Khwan,Kanchanaburi,14.580,99.753,1458,9975.3
Thung Krabam,Lao Khwan,Kanchanaburi,14.616,99.586,1461.6,9958.6
Nong Sano,Lao Khwan,Kanchanaburi,14.648,99.758,1464.8,9975.8
Nong Fai,Lao Khwan,Kanchanaburi,14.682,99.642,1468.2,9964.2
Nong Pling,Lao Khwan,Kanchanaburi,14.715,99.743,1471.5,9974.3
Si Mongkhon,Sai Yok,Kanchanaburi,13.992,99.139,1399.2,9913.9
Sing,Sai Yok,Kanchanaburi,14.035,99.287,1403.5,9928.7
Lum Sum,Sai Yok,Kanchanaburi,14.104,99.133,1410.4,9913.3
Bong Ti,Sai Yok,Kanchanaburi,14.134,98.916,1413.4,9891.6
Wang Krachae,Sai Yok,Kanchanaburi,14.260,98.911,1426,9891.1
Tha Sao,Sai Yok,Kanchanaburi,14.303,99.037,1430.3,9903.7
Sai Yok,Sai Yok,Kanchanaburi,14.421,98.741,1442.1,9874.1
Nong Phai,Dan Makham Tia,Kanchanaburi,13.808,99.440,1380.8,9944
Chorakhe Phueak,Dan Makham Tia,Kanchanaburi,13.811,99.210,1381.1,9921
Dan Makham Tia,Dan Makham Tia,Kanchanaburi,13.836,99.388,1383.6,9938.8
Klon Do,Dan Makham Tia,Kanchanaburi,13.880,99.440,1388,9944
Lin Thin,Thong Pha Phum,Kanchanaburi,14.584,98.833,1458.4,9883.3
Hin Dat,Thong Pha Phum,Kanchanaburi,14.608,98.723,1460.8,9872.3
Huai Khayeng,Thong Pha Phum,Kanchanaburi,14.635,98.583,1463.5,9858.3
Sahakon Nikhom,Thong Pha Phum,Kanchanaburi,14.735,98.763,1473.5,9876.3
Tha Khanun,Thong Pha Phum,Kanchanaburi,14.762,98.641,1476.2,9864.1
Pi Lok,Thong Pha Phum,Kanchanaburi,14.779,98.403,1477.9,9840.3
Chalae,Thong Pha Phum,Kanchanaburi,14.996,98.833,1499.6,9883.3
Nong Tak Ya,Tha Muang,Kanchanaburi,13.795,99.546,1379.5,9954.6
Phang Tru,Tha Muang,Kanchanaburi,13.863,99.645,1386.3,9964.5
Rang Sali,Tha Muang,Kanchanaburi,13.866,99.543,1386.6,9954.3
Ban Mai,Tha Muang,Kanchanaburi,13.868,99.604,1386.8,9960.4
Tha Takhro,Tha Muang,Kanchanaburi,13.917,99.699,1391.7,9969.9
Khao Noi,Tha Muang,Kanchanaburi,13.919,99.588,1391.9,9958.8
Muang Chum,Tha Muang,Kanchanaburi,13.937,99.617,1393.7,9961.7
Wang Khanai,Tha Muang,Kanchanaburi,13.960,99.663,1396,9966.3
Wang Sala,Tha Muang,Kanchanaburi,13.971,99.697,1397.1,9969.7
Tha Muang,Tha Muang,Kanchanaburi,13.974,99.625,1397.4,9962.5
Tha Lo,Tha Muang,Kanchanaburi,13.987,99.589,1398.7,9958.9
Thung Thong,Tha Muang,Kanchanaburi,14.008,99.666,1400.8,9966.6
Nong Khao,Tha Muang,Kanchanaburi,14.055,99.613,1405.5,9961.3
Khok Tabong,Tha Maka,Kanchanaburi,13.839,99.746,1383.9,9974.6
Tha Sao,Tha Maka,Kanchanaburi,13.843,99.805,1384.3,9980.5
Khao Sam Sip Hap,Tha Maka,Kanchanaburi,13.865,99.719,1386.5,9971.9
Phong Tuek,Tha Maka,Kanchanaburi,13.869,99.776,1386.9,9977.6
Don Khamin,Tha Maka,Kanchanaburi,13.884,99.826,1388.4,9982.6
Wai Niao,Tha Maka,Kanchanaburi,13.902,99.759,1390.2,9975.9
Tha Mai,Tha Maka,Kanchanaburi,13.906,99.801,1390.6,9980.1
Yang Muang,Tha Maka,Kanchanaburi,13.921,99.834,1392.1,9983.4
Saen To,Tha Maka,Kanchanaburi,13.922,99.732,1392.2,9973.2
Tha Maka,Tha Maka,Kanchanaburi,13.930,99.779,1393,9977.9
Tha Ruea,Tha Maka,Kanchanaburi,13.954,99.752,1395.4,9975.2
Sanam Yae,Tha Maka,Kanchanaburi,13.954,99.851,1395.4,9985.1
Don Cha-Em,Tha Maka,Kanchanaburi,13.971,99.807,1397.1,9980.7
Takhram En,Tha Maka,Kanchanaburi,13.992,99.744,1399.2,9974.4
Phra Thaen,Tha Maka,Kanchanaburi,14.018,99.792,1401.8,9979.2
Nong Lan,Tha Maka,Kanchanaburi,14.037,99.827,1403.7,9982.7
Ulok Si Muen,Tha Maka,Kanchanaburi,14.060,99.773,1406,9977.3
Nong Kum,Bo Phloi,Kanchanaburi,14.205,99.462,1420.5,9946.2
Bo Phloi,Bo Phloi,Kanchanaburi,14.305,99.466,1430.5,9946.6
Chong Dan,Bo Phloi,Kanchanaburi,14.412,99.437,1441.2,9943.7
Lum Rang,Bo Phloi,Kanchanaburi,14.485,99.481,1448.5,9948.1
Nong Ri,Bo Phloi,Kanchanaburi,14.540,99.356,1454,9935.6
Don Chedi,Phanom Thuan,Kanchanaburi,14.036,99.674,1403.6,9967.4
Nong Sarai,Phanom Thuan,Kanchanaburi,14.067,99.728,1406.7,9972.8
Thung Samo,Phanom Thuan,Kanchanaburi,14.076,99.667,1407.6,9966.7
Phanom Thuan,Phanom Thuan,Kanchanaburi,14.129,99.705,1412.9,9970.5
Phang Tru,Phanom Thuan,Kanchanaburi,14.134,99.746,1413.4,9974.6
Nong Rong,Phanom Thuan,Kanchanaburi,14.162,99.622,1416.2,9962.2
Don Ta Phet,Phanom Thuan,Kanchanaburi,14.192,99.678,1419.2,9967.8
Rang Wai,Phanom Thuan,Kanchanaburi,14.232,99.767,1423.2,9976.7
Tha Kradan,Si Sawat,Kanchanaburi,14.366,99.174,1436.6,9917.4
Nong Pet,Si Sawat,Kanchanaburi,14.464,99.232,1446.4,9923.2
Mae Krabung,Si Sawat,Kanchanaburi,14.527,98.996,1452.7,9899.6
Dan Mae Chalaep,Si Sawat,Kanchanaburi,14.691,98.980,1469.1,9898
Khao Chot,Si Sawat,Kanchanaburi,14.885,99.183,1488.5,9918.3
Na Suan,Si Sawat,Kanchanaburi,14.895,99.029,1489.5,9902.9
Prang Phle,Sangkhla Buri,Kanchanaburi,14.999,98.545,1499.9,9854.5
Nong Lu,Sangkhla Buri,Kanchanaburi,15.112,98.341,1511.2,9834.1
Lai Wo,Sangkhla Buri,Kanchanaburi,15.345,98.664,1534.5,9866.4
Nong Pla Lai,Nong Prue,Kanchanaburi,14.626,99.527,1462.6,9952.7
Nong Prue,Nong Prue,Kanchanaburi,14.630,99.454,1463,9945.4
Somdet Charoen,Nong Prue,Kanchanaburi,14.746,99.338,1474.6,9933.8
Don Salaep,Huai Krachao,Kanchanaburi,14.292,99.701,1429.2,9970.1
Huai Krachao,Huai Krachao,Kanchanaburi,14.312,99.618,1431.2,9961.8
Sa Long Ruea,Huai Krachao,Kanchanaburi,14.357,99.764,1435.7,9976.4
Wang Phai,Huai Krachao,Kanchanaburi,14.434,99.597,1443.4,9959.7
,,,,,,
